「糸」をむすぶ。;「いと」をむすぶ。
よなかに「目」をさます。;よなかに「め」をさます。
「玉」をころがす。;「たま」をころがす。
「村」のまつりを 見る[みる]。;「むら」のまつりを 見る[みる]。
「白い」 花[はな]がさく。;「しろい」 花[はな]がさく。
雨[あめ]の「音」をきく。;雨[あめ]の「おと」をきく。
「赤い」かばをもつ。;「あかい」かばをもつ。
ひよこが「生まれる」。;ひよこが「うまれる」。
手[て]で「耳」をふさぐ。;手[て]で「みみ」をふさぐ。
「王」さまのはなしをよむ。;「おう」さまのはなしをよむ。
「口」に 手[て]をあてる。;「くち」に 手[て]をあてる。
「二年」がすぎる。;「にねん」がすぎる。
たいの 上[うえ]に「立つ」。;だいの 上[うえ]に「たつ」。
にわの「草」をぬく。;にわの「くさ」をぬく。
「先」に 学校[がっこう]につく。;「さき」に 学校[がっこう]につく。
白い[しろい]「犬」をなでる。;白い[しろい]「いぬ」をなでる。
ねるのが「早い」。;ねるのが「はやい」。
かいだんを「上る」。;かいだんを「のぼる」。
うみで「貝」をひろう。;うみで「かい」をひろう。
「林」の 中[なか]をとおる。;「はやし」の 中[なか]をとおる。
「右足」で ボール[ぼうる]をける。;「みぎあし」で ボール[ぼうる]をける。
まるい「石」をあつめる。;まるい「いし」をあつめる。
かみに「文字」をかく。;かみに「もじ」をかく。
かどを「左」にまがる。;かどを「ひだり」にまがる。
手[て]に「力」を 入れる[いれる]。;手[て]に「ちから」を 入れる[いれる]。
にわに「木」をうえる。;にわに「き」をうえる。
「大きい」こえをだす。;「おおきい」こえをだす。
「小さい」はながさく。;「ちいさい」はながさく。
「一」ねんがすぎる。;「いち」ねんがすぎる。
かめを「二」ひきかう。;かめを「に」ひきかう。
いしを「二つ」ひろう。;いしを「ふたつ」ひろう。
えんぴつが「三」ぼん。;えんぴつが「さん」ぼん。
おりがみを「四」まいおる。;おりがみを「よん」まいおる。
「五にんぐみ」になる。;「ごにんぐみ」になる。
「六」ぴきのいぬがあそぶ。;「ろっ」ぴきのいぬがあそぶ。
ももを「六つ」かう。;ももを「むっつ」かう。
どんぐりが「七つ」。;どんぐりが「ななつ」。
とりが「八」はいる。;とりが「はち」はいる。
「九」ほんのいろえんぴつ。;「きゅう」ほんのいろえんぴつ。
さいふから「十」えんをだす。;さいふから「じゅう」えんをだす。
「子」どもがあつまる。;「こ」どもがあつまる。
あおい「空」をみる。;あおい「そら」をみる。
「男」のせんせいとはなす。;「おとこ」のせんせいとはなす。
「女」のひとにみちをきく。;「おんな」のひとにみちをきく。
「手」をあらう。;「て」をあらう。
あたたかい「天」 気[き]。;あたたかい「てん」 気[き]。
「青い」 空[そら]。;「あおい」 空[そら]。
「小さい」 車[くるま] 。;「ちいさい」くるま。
だれにも「見せない」。;だれにも「みせない」。
「学校」に 行く[いく]。;「がっこう」に 行く[いく]。
大きい[おおきい]「虫」。;大きい[おおきい]「むし」。
かれは「文」しょうがとてもうまい。;かれは「ぶん」しょうがとてもうまい。
それは「正しい」です。;それは「ただしい」です。
「字」をかく。;「じ」をかく。
「山」にのぼる。;「やま」にのぼる。
「水」をのむ？;「みず」をのむ？
「雨」がやむ。;「あめ」がやむ。
つくえの「上」。;つくえの「うえ」。
水[みず]を「下さい」。;水[みず]を「ください」。
ち「下」てつせん。;ち「か」てつせん。
雨[あめ]の「日」。;雨[あめ]の「ひ」。
「火」をけして。;「ひ」をけして。
「田」んぼがひろがっている。;「たん」んぼがひろがっている。
ふとい「竹」をわる。;ふとい「たけ」をわる。
みっしゅうした「竹」 林[はやし]。;みっしゅうした「ちく」 林[はやし]。
「月」がきれいです。;「つき」がきれいです。
小さい[ちいさい]「自 動[じどう] 車」が 人気[にんき]です。;小さい[ちいさい]「じどうしゃ」が 人気[にんき]です。
女[おんな]の「人」にあう。;女[おんな]の「ひと」にあう。
手[て]を「上げ」て 下さい[ください]。;手[て]を「あげげ」て 下さい[ください]。
「気」をつけてください。;「き」をつけてください。
「本」をよむ。;「ほん」をよむ。
みどりの「森」がひろがる。;みどりの「もり」がひろがる。
家[いえ]を「出る」。;家[いえ]を「でる」。
「中」に 入る[はいる] 。;「なか」に 入る[はいる]。
「町」の 近く[ちかく]。;「まち」の 近く[ちかく]。
おふろに「入る」。;おふろに「はいる」。
「名」まえをかく。;「な」まえをかく。
「夕がた」、雨[あめ]がふりました。;「ゆうがた」、雨[あめ]がふりました。
しょく パン[ぱん]は 二[に]「百」 円[えん]です。;しょく パン[ぱん]は 二[に]「ひゃく」 円[えん]です。
「千円」でたりました。;「せんえん」でたりました。
てがみを「出す」 。;てがみを「だす」 。
ピンク[ぴんく]の「花」。;ピンク[ぴんく]の「はな」。
二月[にがつ]「七日」。;二月[にがつ]「なのか」。
